"GeoFips","GeoName","2005:Q1","2005:Q2","2005:Q3","2005:Q4","2006:Q1","2006:Q2","2006:Q3","2006:Q4","2007:Q1","2007:Q2","2007:Q3","2007:Q4","2008:Q1","2008:Q2","2008:Q3","2008:Q4","2009:Q1","2009:Q2","2009:Q3","2009:Q4","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2","2018:Q3","2018:Q4","2019:Q1","2019:Q2","2019:Q3","2019:Q4"
"15000","Hawaii",67652.1,68161.8,68782.7,69665.4,69781.8,70321.3,70803.9,70704.4,70349.6,70571.9,71599.5,72245.7,72143.0,72651.3,71737.1,70225.8,69278.1,69135.3,68775.4,69190.4,69998.0,70487.7,71564.0,71976.2,71850.8,71800.2,71682.6,72987.2,73204.9,73704.1,73907.2,73514.6,74667.2,74012.1,74138.7,74292.2,73796.0,74306.5,74924.3,75090.4,76163.2,77031.7,77511.7,78034.9,78476.4,78760.2,78984.7,79399.3,80432.0,80274.0,80850.0,81307.1,81835.6,82689.9,82854.0,83228.1,83268.6,83372.7,83460.3,83936.0
"16000","Idaho",54275.9,55116.3,56129.5,56026.6,57432.0,58100.5,57054.6,57771.2,58073.6,58303.8,58707.7,59727.2,59563.3,60453.4,60178.9,58620.1,57799.6,56605.5,57076.0,56869.1,57590.9,57605.2,58070.3,58360.3,57448.0,57706.5,57641.0,58391.4,57706.7,57810.6,58039.7,57500.4,58825.2,59652.4,60082.2,60762.6,60555.7,61023.9,61704.7,62293.7,63091.0,62924.6,63282.8,63091.6,64585.2,65355.3,66164.8,66036.2,66542.8,67671.0,68190.2,68868.6,69613.3,70211.4,70707.3,71469.5,71846.4,72265.7,72705.6,73159.9
"17000","Illinois",683764.9,683702.1,688056.0,688063.8,702154.1,703765.0,703594.1,708464.8,708900.0,711825.9,712375.4,717737.8,703921.9,706745.3,703633.4,683417.6,678003.5,680027.7,682823.0,691008.1,684395.4,692140.4,700628.3,702680.3,701980.0,706595.9,705404.0,714258.0,722662.1,723751.7,720290.5,716105.0,725039.9,721915.6,723289.8,728220.1,724273.3,734160.1,740052.5,741656.3,739417.5,743737.3,748666.9,746249.6,743842.8,746937.6,745427.0,752464.5,747999.6,750532.1,756711.6,759308.5,765063.9,766486.1,773851.8,773800.6,778055.2,780258.8,783066.9,786695.2
"18000","Indiana",282825.8,285195.7,286887.7,287058.4,289640.1,290560.3,291483.4,293392.7,293152.8,298239.2,301213.6,305086.1,303721.0,303946.7,298117.0,287270.3,274412.1,273896.1,276416.5,285170.9,289133.7,294630.8,298179.3,298589.1,295543.5,295991.3,295381.4,298971.9,298803.7,299367.3,297844.0,294195.9,304699.2,301590.5,304537.0,304851.2,309204.4,314515.8,316549.1,314692.8,311120.9,312855.4,311053.5,311372.9,311623.0,315659.4,318566.6,320694.4,321288.6,321536.3,322278.7,325878.8,328059.9,328477.5,330262.8,330395.1,330246.9,331073.8,332952.0,333889.5
"19000","Iowa",143221.1,144038.1,145072.6,143173.3,144900.5,146074.0,145302.4,147271.9,150041.8,152696.1,152724.7,153542.1,152670.3,151606.3,148226.4,144024.5,142359.3,143890.9,146541.5,149681.3,147545.5,149642.9,150282.5,150671.6,149762.3,149492.0,150452.9,155284.5,157011.8,159255.2,157926.7,154809.5,156532.3,155257.9,156860.8,157895.5,159715.6,165563.0,167566.6,167507.1,168383.9,168918.6,170004.9,170192.6,168467.7,167967.0,169709.0,169362.0,169019.4,168668.6,167523.3,168526.9,170756.4,172525.2,172949.6,172056.7,172926.5,173400.0,173942.7,174484.5
"20000","Kansas",121598.3,122315.9,123365.4,121751.6,127889.1,129176.5,128600.1,129931.2,134050.9,135228.6,135786.2,137603.0,139567.2,141077.5,139332.7,134654.3,132716.2,132496.1,133009.0,134885.7,131533.2,133955.0,136457.3,137832.7,136677.9,139160.9,138821.3,139590.4,145311.0,142340.4,137292.9,136966.8,138915.4,139989.9,140409.5,142707.5,139182.2,142357.7,145479.6,146682.0,143797.1,146012.4,147047.7,147835.3,147565.1,149572.9,150946.7,151626.9,151765.8,151251.2,151247.5,151598.3,153418.5,154589.7,155217.5,155105.1,154682.3,155515.6,156376.9,157202.4
"21000","Kentucky",165875.4,168425.9,170058.6,170860.7,173060.0,174099.7,173393.1,172793.6,170130.5,171246.3,171697.8,174402.8,174039.0,175553.1,171782.0,167229.2,164664.0,163115.8,164385.0,167894.9,167219.4,171638.5,174627.7,174693.3,172092.4,173176.7,173758.0,177517.1,176814.9,177328.1,176364.5,174701.8,180559.9,178872.8,179355.2,178771.9,178473.1,180514.0,180717.5,180252.5,179806.4,181902.8,181690.0,181893.4,180182.4,182305.9,183946.6,184039.5,183808.3,183804.1,184522.2,186029.0,185815.5,187036.0,187660.8,188349.9,188393.5,188863.3,189569.4,190636.1
"22000","Louisiana",245844.9,248686.6,244213.3,243347.6,244425.1,243788.1,242432.8,242683.6,235740.1,234265.3,234020.2,234455.8,232632.4,235256.4,235659.3,237556.7,238117.7,236700.9,238628.2,241217.7,245758.3,248721.9,250007.7,244915.8,236770.1,233744.3,230997.9,234738.7,237007.0,237601.7,231411.5,228472.2,228565.2,225734.0,226019.5,226145.0,227012.4,233373.9,236561.5,237755.6,235206.3,232894.0,231975.9,229754.1,228600.1,228515.2,227634.3,228260.5,230363.4,230724.7,231602.2,232802.0,235760.6,237027.9,238006.4,238693.8,238690.2,239695.8,241432.8,242082.4
"23000","Maine",53293.3,53439.3,53605.0,54112.3,54166.1,54511.0,54191.4,54212.4,53566.4,54083.6,54165.7,54190.0,54248.5,54415.7,54131.7,52888.0,52387.1,52812.7,53336.3,53718.2,53543.6,53854.7,54148.0,53558.4,53095.1,52902.7,52750.1,53603.1,53212.4,53485.5,52886.8,51911.1,52743.4,52163.4,52360.9,52752.3,52729.7,53252.8,53621.0,54068.5,53140.3,53784.7,53816.0,54381.0,54213.5,55097.8,55015.4,55557.2,55775.4,55809.9,56380.4,56791.7,56971.5,57431.8,57827.6,57570.9,58243.5,58326.3,58632.3,58911.3
"24000","Maryland",300352.8,303643.5,309318.4,310658.6,310558.2,310764.1,312219.9,313178.6,310325.7,312921.3,311415.7,313710.7,316002.6,317997.7,316377.4,313057.8,310496.9,313327.4,315826.2,319800.7,322781.7,325890.7,327765.9,332500.0,330815.0,334465.8,335168.8,336776.8,337329.0,334085.7,336014.0,331857.8,335957.6,333615.6,334598.6,335584.1,334683.4,339118.9,341545.5,339588.2,343150.0,343644.5,345798.8,348327.6,352090.7,356416.9,358592.4,360170.4,357968.9,358294.1,360190.9,363666.6,365940.2,369137.1,369751.7,370611.8,372262.4,373690.1,374654.2,376935.8
